"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
7,28,1,0,1,1,1,1,-1368.49111154504,32.3141879239901
7,29,1,0,2,1,1,1,-1048.94012350464,40.0840539130874
7,30,1,0,1,2,1,1,-322.440068094784,66.112887686189
7,31,1,0,1,1,1,1,-860.140185999724,45.9494670567079
7,32,1,0,1,1,1,2,-409.215683722561,62.2651958119274
7,33,1,0,1,1,1,1,-1015.5965296229,41.2196894356359
7,34,1,0,2,1,1,1,544.014392720149,119.872129618357
7,35,1,0,1,1,1,1,-963.828244631562,42.563574384454
7,36,1,0,1,1,1,1,-1184.50425149001,36.5491756740437
7,37,1,0,1,2,1,1,87.4802469852211,87.6151241276451
7,38,1,0,1,1,1,1,-1198.80729686795,36.1910626241447
7,39,1,0,1,1,1,1,-357.389044378846,64.9130132085021
7,40,1,0,1,2,1,1,230.472864346151,97.2316192286287
7,41,1,0,1,1,1,2,564.705167254953,121.767442065273
7,42,1,0,1,1,1,1,-145.41808251071,75.3662930393187
7,43,1,0,1,1,1,1,-586.563804178913,55.201104773912
7,44,1,0,1,1,1,1,268.749561094091,99.3369820895132
7,45,1,0,1,1,1,1,-1220.07580215313,35.8457844529665
7,46,1,0,1,1,1,1,-699.710980080536,51.0242434376674
7,47,1,0,1,1,1,1,668.955847051911,131.439872703235
7,48,1,0,1,1,1,1,-555.604304269333,56.7610131971158
7,49,1,0,1,1,1,2,357.610795500269,105.462396258993
7,50,1,0,2,1,1,1,-974.591731807025,42.2197674417897
8,1,1,0,1,1,1,1,-101.702681069444,77.325762932016
8,2,1,0,1,2,1,1,-1607.28848142149,27.3034758766956
8,3,1,0,1,1,1,2,-1013.00606486003,41.392224023068
8,4,1,0,1,1,1,1,-279.15173516151,68.1404933033792
8,5,1,0,2,1,1,1,24.1356542790463,83.8782496206097
8,6,1,0,1,1,1,2,-1576.78708718436,27.9542451768209
8,7,1,0,1,1,1,1,-1542.80677870827,28.5936900649321
8,8,1,0,1,1,1,1,-1997.27263241951,20.9102523117191
8,9,1,0,1,1,1,1,-1408.20442309201,31.356839393831
8,10,1,0,1,1,1,2,-1904.03513978085,22.3113922699179
8,11,1,0,1,1,1,2,-1791.6929138703,24.1941249958375
8,12,1,0,1,1,1,1,-1805.6829121251,23.8345534299406
8,13,1,0,1,1,1,1,-2135.17439534397,19.0863009673206
8,14,1,0,1,1,1,1,-1516.65312042615,29.0693739985562
8,15,1,0,1,1,1,1,-2151.29543119833,18.9320548146118
8,16,1,0,1,2,1,1,-449.738277968566,60.5101238602877
8,17,1,0,1,1,1,2,-854.758418255474,45.8226679700435
